product_id,product_name,category,brand,times_ordered,total_units_sold,total_revenue,avg_rating,review_count
PROD_0184,Distributed grid-enabled capability,Electronics,Yoder-Olson,2880,10040,9159893.6,3.8,2880
PROD_0132,Switchable encompassing moratorium,Clothing,"Phillips, Lloyd and Rodriguez",2232,7308,8367513.84,3.75,2232
PROD_0315,Organized object-oriented functionalities,Home,Castillo LLC,2448,7344,8029415.52,3.53,2448
PROD_0339,Decentralized leadingedge superstructure,Sports,"Lewis, Allen and Villa",2516,7326,7774570.98,3.27,2516
PROD_0380,Optional static capacity,Clothing,Johnson and Sons,2788,8364,7697723.76,3.56,2788
PROD_0346,Fundamental tangible interface,Beauty,"Russell, Parks and Johnson",2680,8600,7426014.0,3.9,2680
PROD_0092,Extended web-enabled collaboration,Home,Roberts Inc,3552,10272,6992972.16,3.67,3552
PROD_0250,Ameliorated discrete forecast,Clothing,Eaton Ltd,2992,10340,6633627.0,3.75,2992
PROD_0247,Multi-lateral methodical focus group,Beauty,Thompson LLC,2301,6318,6380548.2,3.62,2301
PROD_0138,Networked analyzing open system,Sports,Rogers-Richardson,2170,6650,6326810.0,3.74,2170
PROD_0005,Intuitive full-range moderator,Home,Cooper-Contreras,2088,6624,6245438.4,3.83,2088
PROD_0016,Triple-buffered optimal functionalities,Beauty,"Mills, Hampton and Hunt",2310,7315,6231941.1,3.6,2310
PROD_0234,Virtual explicit Graphical User Interface,Beauty,"Nash, Howard and Lopez",2145,6402,6056996.22,3.52,2145
PROD_0363,Grass-roots leadingedge customer loyalty,Beauty,"Bowers, Walton and Mcgee",2242,6536,5872203.84,3.42,2242
PROD_0433,Devolved 5thgeneration infrastructure,Sports,Doyle-Berger,2052,6660,5866660.8,3.64,2052
