product_id,product_name,category,subcategory,brand,cost_price,selling_price,stock_quantity,supplier,is_active,created_date
PROD_0001,Customer-focused content-based productivity,Electronics,Smartphones,Adams-Hall,327.89,492.45,756,Hughes-Lozano,True,2024-04-11
PROD_0002,Persevering actuating contingency,Clothing,Shoes,Douglas-Parsons,441.71,630.99,941,Johnson Inc,True,2025-01-11
PROD_0003,Fully-configurable foreground Graphical User Interface,Sports,Yoga,Fleming-Alexander,97.22,211.33,893,Williams-Miller,False,2024-08-27
PROD_0004,Automated uniform analyzer,Electronics,Smartphones,Leonard-Miller,152.7,302.9,950,Mejia-Wall,False,2025-07-09
PROD_0005,Intuitive full-range moderator,Home,Decor,Cooper-Contreras,494.6,942.85,505,Todd-Scott,True,2023-11-21
PROD_0006,Compatible upward-trending concept,Beauty,Fragrance,"Cannon, Bush and Rowe",140.05,315.32,338,Chapman-Beard,True,2024-11-17
PROD_0007,Versatile neutral orchestration,Sports,Team Sports,Rivera-Odom,360.71,439.46,345,Rivas and Sons,False,2024-08-09
PROD_0008,Face-to-face background interface,Beauty,Makeup,Little-Wright,91.87,212.49,918,Doyle-Baird,False,2024-07-19
PROD_0009,Proactive uniform knowledgebase,Sports,Cycling,Lee-Hart,167.32,287.97,97,Jimenez and Sons,True,2024-07-10
PROD_0010,De-engineered attitude-oriented artificial intelligence,Clothing,Shoes,Little Group,165.18,251.48,267,Cisneros-Harris,False,2024-01-29
PROD_0011,Versatile zero administration Local Area Network,Clothing,Shoes,Obrien-Peterson,378.11,922.68,309,Martin-Brock,True,2025-05-30
PROD_0012,Optimized upward-trending analyzer,Home,Bedding,"Sharp, Rodgers and Simpson",347.92,445.6,121,"Ward, Franco and Craig",False,2025-06-09
PROD_0013,Proactive background model,Home,Kitchen,Giles-Scott,205.68,381.18,916,"Graves, Nichols and Alexander",False,2024-08-14
PROD_0014,Organized even-keeled artificial intelligence,Electronics,Tablets,"Morris, Wells and Blake",186.93,277.98,980,Gaines Ltd,True,2024-03-17
PROD_0015,Monitored methodical parallelism,Sports,Outdoor,Pratt-Rice,230.21,572.18,382,"Rogers, Gutierrez and Burns",False,2024-06-05
PROD_0016,Triple-buffered optimal functionalities,Beauty,Fragrance,"Mills, Hampton and Hunt",379.89,851.94,845,Patterson PLC,True,2025-02-05
PROD_0017,Multi-layered secondary hub,Clothing,Accessories,Taylor Group,437.2,571.17,457,Mitchell-Tucker,False,2023-12-11
PROD_0018,Centralized multi-state array,Electronics,Cameras,Walker Inc,60.54,137.87,924,Myers Ltd,True,2024-07-08
PROD_0019,Cross-platform stable encryption,Beauty,Bath & Body,Leonard-Vega,79.18,128.79,532,"Sims, Hale and Avila",False,2025-07-06
PROD_0020,Persevering optimal info-mediaries,Electronics,Laptops,Harris-Smith,359.87,660.53,920,"Clements, Gross and Powell",False,2025-01-27
PROD_0021,Up-sized tertiary infrastructure,Electronics,Headphones,Johnson PLC,70.31,122.34,577,Mcknight Ltd,True,2025-09-21
PROD_0022,Exclusive encompassing frame,Beauty,Fragrance,Johnson Inc,338.02,541.04,22,Morales-Rogers,False,2024-08-29
PROD_0023,Adaptive bi-directional system engine,Home,Furniture,Herrera-Rios,374.17,730.31,46,Morris Group,False,2025-04-13
PROD_0024,Fully-configurable holistic artificial intelligence,Home,Furniture,"Long, Shaw and Greene",272.88,348.83,915,"Garcia, Koch and Johns",True,2024-04-24
PROD_0025,User-friendly intangible intranet,Sports,Fitness,"Schneider, Oconnell and Griffin",147.11,210.95,138,Coffey-Moran,False,2023-12-06
PROD_0026,Switchable scalable Graphic Interface,Home,Decor,Gilbert LLC,227.03,543.11,386,Gay-Rivera,False,2025-06-23
PROD_0027,Fundamental executive hub,Electronics,Cameras,Fritz-Fletcher,70.83,164.21,121,Dean-Gray,True,2024-06-27
PROD_0028,Future-proofed multimedia strategy,Beauty,Fragrance,"Williams, Conner and Garcia",266.78,572.57,228,"Jenkins, Wilson and Cox",True,2025-08-07
PROD_0029,Sharable hybrid structure,Electronics,Tablets,Carr-Martin,234.19,499.95,434,Riley Inc,False,2025-03-15
PROD_0030,Managed holistic concept,Clothing,Women,Hunt Group,233.01,326.6,193,Fernandez Inc,True,2025-07-25
PROD_0031,Streamlined attitude-oriented interface,Electronics,Headphones,Smith and Sons,309.39,747.83,910,Dillon Group,True,2024-11-24
PROD_0032,Right-sized mobile focus group,Clothing,Women,Quinn-Rowe,38.31,75.55,457,"Farrell, Hall and Davis",True,2024-03-26
PROD_0033,Digitized secondary flexibility,Clothing,Men,Lin LLC,204.12,307.13,222,Davies Inc,True,2025-08-16
PROD_0034,Seamless real-time migration,Clothing,Accessories,Larson-Patel,496.77,747.35,938,"Sullivan, Graves and Guerrero",False,2024-10-25
PROD_0035,Upgradable demand-driven open architecture,Beauty,Bath & Body,"Lin, Contreras and Howard",387.41,877.06,242,Brady-Shaffer,False,2025-03-06
PROD_0036,Digitized bandwidth-monitored throughput,Clothing,Accessories,Gonzales-Sanders,114.42,182.0,62,Clark LLC,True,2025-09-17
PROD_0037,Persistent leadingedge emulation,Sports,Cycling,"Lin, Owens and Hernandez",250.33,616.81,964,Ritter Inc,False,2024-03-27
PROD_0038,Seamless directional policy,Beauty,Haircare,Williams LLC,349.67,605.19,307,Mills Inc,False,2024-03-15
PROD_0039,Devolved discrete task-force,Clothing,Accessories,"Murphy, Shelton and Martinez",239.39,551.59,307,"Wong, Williamson and Sutton",True,2024-01-19
PROD_0040,Versatile homogeneous extranet,Sports,Fitness,Andersen and Sons,283.38,696.58,570,"Wheeler, Schroeder and Miles",True,2024-02-05
PROD_0041,Extended intermediate support,Sports,Outdoor,"Oneill, Gomez and Good",131.22,213.8,80,"Martinez, Griffin and Berry",False,2025-04-17
PROD_0042,Stand-alone dynamic capacity,Home,Furniture,Li-Reeves,270.14,615.44,52,"Sanchez, Goodwin and Pruitt",False,2024-04-23
PROD_0043,Re-contextualized empowering analyzer,Sports,Cycling,Hobbs Group,303.45,708.77,192,French and Sons,True,2024-01-24
PROD_0044,Optimized high-level workforce,Sports,Outdoor,"Nelson, Harrison and Miller",435.39,710.93,979,Burgess Ltd,True,2024-05-20
PROD_0045,Expanded client-driven matrices,Clothing,Women,Clark LLC,481.23,650.87,772,"Brown, Dean and Moreno",False,2025-01-10
PROD_0046,Face-to-face mission-critical leverage,Clothing,Accessories,Tucker LLC,353.37,606.25,245,Ruiz-Ramos,False,2024-10-21
PROD_0047,Adaptive analyzing portal,Home,Decor,Richardson-Weber,235.79,481.8,315,Wong Ltd,False,2024-03-11
PROD_0048,Monitored didactic moderator,Home,Garden,Torres LLC,441.99,798.15,822,"White, Santiago and Roberts",False,2024-08-08
PROD_0049,Programmable leadingedge synergy,Home,Kitchen,"Mitchell, Salazar and Gonzales",188.5,327.63,576,Gutierrez-Moore,True,2025-01-13
PROD_0050,Programmable explicit analyzer,Clothing,Men,Smith-Little,134.08,323.83,593,Hudson Group,False,2024-04-24
PROD_0051,Cloned exuding workforce,Home,Kitchen,Williams and Sons,102.11,153.07,583,Russell and Sons,True,2025-10-07
PROD_0052,Programmable local instruction set,Sports,Cycling,Faulkner LLC,329.03,687.77,263,Figueroa-Thomas,False,2025-11-06
PROD_0053,Automated multi-state hierarchy,Sports,Yoga,Brown LLC,88.28,197.17,173,Stewart-Nielsen,True,2024-11-25
PROD_0054,Extended full-range array,Beauty,Fragrance,Brown-Collier,96.1,226.43,657,"Dean, Long and Conway",True,2025-10-02
PROD_0055,Total upward-trending paradigm,Beauty,Skincare,Hernandez Ltd,420.34,545.03,837,"Dixon, Harris and White",True,2024-06-03
PROD_0056,Public-key grid-enabled infrastructure,Electronics,Headphones,Dixon Inc,73.06,147.57,69,"Reed, Stone and Compton",True,2024-07-22
PROD_0057,Public-key upward-trending approach,Electronics,Laptops,"Cardenas, Rogers and Parker",255.34,430.29,632,Tran and Sons,False,2024-08-18
PROD_0058,Ergonomic 5thgeneration framework,Sports,Fitness,Warren-Todd,8.27,15.85,12,York Inc,True,2025-08-07
PROD_0059,Ameliorated impactful task-force,Beauty,Haircare,Ward PLC,270.19,424.93,514,Jones and Sons,False,2024-06-27
PROD_0060,Ameliorated dedicated leverage,Clothing,Men,Stevens Ltd,459.43,864.51,246,Graves PLC,True,2025-07-24
PROD_0061,Integrated impactful firmware,Beauty,Bath & Body,Oneal-Newton,129.95,215.82,814,"Butler, Smith and Hebert",False,2025-01-02
PROD_0062,Down-sized background pricing structure,Electronics,Tablets,Griffin-Solis,479.85,862.15,249,May Ltd,True,2024-04-06
PROD_0063,Horizontal stable artificial intelligence,Home,Furniture,"Lucas, Griffin and Howard",328.6,760.93,777,Smith-Bell,True,2025-02-20
PROD_0064,Operative 24hour focus group,Electronics,Headphones,Bell-Singh,192.74,369.77,57,"Johnson, Haas and Jackson",True,2025-10-23
PROD_0065,Streamlined full-range database,Clothing,Men,Boyd Ltd,252.43,445.31,803,Smith-Proctor,False,2024-02-19
PROD_0066,Advanced tertiary benchmark,Beauty,Skincare,Morris and Sons,447.92,1072.72,235,"Gonzalez, Krueger and Fisher",True,2025-09-12
PROD_0067,Adaptive composite matrix,Beauty,Fragrance,Johnson and Sons,139.19,334.25,700,"Love, Walker and Johnson",False,2025-06-03
PROD_0068,Mandatory fault-tolerant knowledgebase,Beauty,Bath & Body,Ware-Blake,330.76,474.03,870,Anderson LLC,False,2025-09-09
PROD_0069,User-friendly 5thgeneration complexity,Electronics,Laptops,Herrera Group,295.58,643.75,729,Smith Ltd,False,2025-10-08
PROD_0070,Reverse-engineered needs-based protocol,Electronics,Tablets,"Smith, Hunter and Vargas",85.41,129.19,854,"Aguilar, Gomez and Mitchell",False,2024-12-11
PROD_0071,Cross-platform tangible implementation,Beauty,Haircare,Miller Inc,195.0,421.53,809,Williams-Hicks,True,2024-10-14
PROD_0072,Synchronized 24hour data-warehouse,Beauty,Haircare,"Cantrell, Clark and Lynn",31.58,55.84,858,"Jacobs, Freeman and Green",True,2024-11-28
PROD_0073,Fundamental tangible matrix,Home,Garden,Brown Inc,385.66,941.52,406,Scott Group,False,2025-03-23
PROD_0074,Progressive context-sensitive Internet solution,Electronics,Tablets,Vargas Ltd,392.86,701.54,233,Ray-Adams,False,2024-12-05
PROD_0075,Multi-lateral upward-trending budgetary management,Beauty,Fragrance,Larson-Cohen,218.76,455.81,676,"Lee, Juarez and Daniels",False,2024-11-15
PROD_0076,Digitized static moratorium,Electronics,Cameras,"Mccall, Peterson and Duke",151.21,229.9,75,Howard-Lam,True,2024-12-30
PROD_0077,Up-sized optimal hub,Home,Kitchen,Rogers LLC,193.1,428.5,157,Terrell-Bass,False,2023-11-26
PROD_0078,Persevering upward-trending knowledgebase,Home,Bedding,"Harris, Neal and Clark",57.74,69.68,315,Lopez Inc,False,2024-06-23
PROD_0079,Expanded zero administration projection,Home,Bedding,"Moody, Phillips and Rogers",55.6,73.03,441,Sweeney-Warren,False,2025-04-13
PROD_0080,Intuitive incremental process improvement,Beauty,Bath & Body,Myers Inc,258.66,345.13,91,Holder-Jones,False,2024-04-03
PROD_0081,Decentralized actuating functionalities,Beauty,Skincare,Robinson Ltd,300.48,667.0,884,"Baker, Hill and Hunt",False,2025-04-21
PROD_0082,Pre-emptive demand-driven groupware,Electronics,Tablets,Davis-Newton,209.84,464.36,742,"Santana, Garcia and Berg",True,2025-10-27
PROD_0083,Universal scalable core,Beauty,Bath & Body,Morrison-White,88.94,150.75,142,"Finley, Joseph and Smith",False,2024-05-22
PROD_0084,Business-focused solution-oriented definition,Home,Bedding,"Wheeler, Lee and Lopez",249.1,319.41,445,"Martin, Hodges and Steele",False,2025-05-19
PROD_0085,Monitored tangible forecast,Sports,Team Sports,White-Taylor,244.69,318.1,257,Martin LLC,True,2023-11-24
PROD_0086,Vision-oriented bi-directional definition,Sports,Cycling,Hunt-Soto,310.25,556.97,138,Price and Sons,False,2025-08-24
PROD_0087,Seamless tertiary standardization,Electronics,Headphones,Barnes LLC,169.45,339.96,823,Boone and Sons,False,2025-01-20
PROD_0088,Cloned bandwidth-monitored conglomeration,Sports,Team Sports,Harris-Kelley,218.16,495.35,666,Evans-Leblanc,True,2024-07-15
PROD_0089,Profit-focused logistical focus group,Home,Bedding,Wallace-Oconnor,303.59,638.72,490,Marshall-Perez,False,2025-08-01
PROD_0090,Devolved fresh-thinking matrices,Clothing,Shoes,Torres-White,484.52,765.0,711,Wilcox-Barnes,False,2024-02-13
PROD_0091,Innovative global superstructure,Beauty,Makeup,"Mason, Lee and Warner",166.31,260.17,804,"Miller, Levine and Hill",False,2024-11-06
PROD_0092,Extended web-enabled collaboration,Home,Furniture,Roberts Inc,466.37,680.78,558,Cole Ltd,True,2025-05-30
PROD_0093,Enhanced multimedia superstructure,Beauty,Skincare,Pena Inc,476.74,858.18,725,"Morales, Pittman and Mays",True,2024-07-23
PROD_0094,User-friendly systematic process improvement,Sports,Team Sports,Proctor Ltd,416.48,537.22,868,"Campbell, Roberts and Ramirez",False,2025-04-15
PROD_0095,Switchable multimedia orchestration,Sports,Outdoor,Brewer Inc,318.5,482.41,674,"Larson, Jackson and Robinson",True,2025-08-13
PROD_0096,Function-based web-enabled emulation,Sports,Yoga,Anderson-Torres,41.61,103.52,490,Stevens and Sons,False,2025-09-27
PROD_0097,Fundamental well-modulated monitoring,Beauty,Bath & Body,Gonzalez LLC,462.13,1077.0,428,Johnson LLC,True,2025-06-01
PROD_0098,Multi-channeled local protocol,Home,Garden,Fuller and Sons,298.94,714.08,111,Gallegos Inc,True,2025-03-31
PROD_0099,Digitized incremental alliance,Home,Kitchen,Cruz Group,325.26,409.04,660,Chambers Inc,False,2025-09-14
PROD_0100,Inverse real-time artificial intelligence,Home,Decor,"Davis, Mitchell and Owens",57.44,76.29,227,Mcintosh LLC,True,2024-07-28
PROD_0101,Focused didactic migration,Sports,Team Sports,Hubbard-Ferguson,198.61,437.75,602,Bean Group,True,2025-09-03
PROD_0102,Fundamental empowering budgetary management,Home,Furniture,Davis-Nelson,243.97,386.46,942,Mora PLC,True,2023-11-16
PROD_0103,Future-proofed tangible adapter,Electronics,Laptops,"Fisher, Hunt and Young",177.42,292.03,803,"Fields, Cantu and Melendez",True,2024-01-25
PROD_0104,Enhanced 4thgeneration parallelism,Beauty,Fragrance,Vargas-Strickland,177.41,235.41,739,"Hughes, Young and Salazar",False,2024-02-19
PROD_0105,Sharable intermediate encoding,Home,Furniture,Fox-Hall,153.63,346.17,117,"Stevens, Munoz and Turner",True,2025-05-17
PROD_0106,Secured uniform hierarchy,Home,Furniture,Franklin-Taylor,340.18,480.9,758,Bishop-Lawson,True,2024-07-21
PROD_0107,Decentralized didactic extranet,Beauty,Makeup,"Cannon, Walters and Price",278.2,453.55,436,Turner-Coffey,False,2024-12-03
PROD_0108,Focused needs-based neural-net,Clothing,Shoes,Ramos Inc,316.73,456.82,673,Peterson-Young,False,2025-01-21
PROD_0109,Digitized modular orchestration,Sports,Fitness,"Johnson, Jennings and Carter",370.01,868.79,460,"Cook, Davis and Brown",False,2024-04-17
PROD_0110,Synergized motivating framework,Sports,Fitness,"Barrett, Johnson and Oliver",353.84,519.27,770,Dunn-Thompson,True,2025-01-18
PROD_0111,Pre-emptive asynchronous info-mediaries,Beauty,Skincare,Reynolds-Smith,400.75,760.61,374,Mcpherson-Riley,False,2024-07-29
PROD_0112,Ameliorated asymmetric superstructure,Clothing,Shoes,"James, Miller and Howard",61.41,127.24,501,"Shelton, Jones and Gregory",False,2024-06-08
PROD_0113,Proactive background projection,Beauty,Fragrance,Sanders-Woods,307.6,603.85,356,Orr Ltd,False,2025-03-14
PROD_0114,Expanded dedicated application,Sports,Cycling,Morgan-Haley,90.4,187.64,819,Smith-Hayden,False,2025-06-28
PROD_0115,Profound clear-thinking interface,Beauty,Bath & Body,"Thompson, Scott and Miller",46.95,64.52,120,"Mitchell, Harmon and Johnson",True,2024-02-15
PROD_0116,Managed incremental initiative,Home,Furniture,Moyer PLC,95.61,200.92,523,Wilson and Sons,False,2025-03-11
PROD_0117,Horizontal eco-centric hub,Sports,Cycling,"Goodman, Coleman and Smith",73.24,124.42,190,Wilson-Harris,False,2024-02-26
PROD_0118,Open-architected coherent knowledgebase,Beauty,Makeup,Johnson-Brown,279.68,513.64,143,Robinson LLC,True,2024-03-07
PROD_0119,Synergistic systemic focus group,Home,Decor,"Phillips, Gordon and Jensen",311.61,724.55,974,Wilson-Bradley,True,2024-04-19
PROD_0120,Decentralized homogeneous superstructure,Sports,Outdoor,Johnson-Schultz,101.59,172.61,575,"Stokes, Miller and Grant",False,2025-06-13
PROD_0121,Operative full-range artificial intelligence,Sports,Yoga,Henderson-Hardin,210.74,482.99,500,"Owens, Travis and Fowler",True,2025-07-11
PROD_0122,Open-architected multimedia model,Electronics,Cameras,Murphy Ltd,20.28,44.4,299,Morgan Inc,True,2025-01-21
PROD_0123,Organized logistical algorithm,Home,Kitchen,Stevens-Henry,271.12,384.63,468,"Jones, Alvarez and Padilla",False,2025-06-24
PROD_0124,Multi-layered zero tolerance benchmark,Beauty,Bath & Body,"Werner, Buckley and Gonzales",61.04,82.31,793,Boone-Perry,False,2025-03-12
PROD_0125,Visionary leadingedge success,Beauty,Skincare,"Porter, Walker and Stewart",381.2,676.16,223,Mcdonald-Adams,False,2025-08-14
PROD_0126,Multi-lateral needs-based pricing structure,Electronics,Laptops,Morales PLC,152.37,380.79,460,Barrera Inc,False,2024-03-08
PROD_0127,Grass-roots human-resource archive,Home,Furniture,Hill-Harris,222.34,554.1,794,Taylor and Sons,True,2024-12-18
PROD_0128,Optional heuristic productivity,Clothing,Accessories,Martin Ltd,346.12,802.78,624,"Larson, Petersen and Cox",False,2025-11-11
PROD_0129,Integrated non-volatile middleware,Clothing,Accessories,"Hernandez, Washington and Willis",73.92,108.56,211,"Stout, Nelson and Long",True,2024-07-29
PROD_0130,Quality-focused content-based parallelism,Beauty,Haircare,Vaughn LLC,268.48,530.49,172,"Webb, Martinez and Foster",False,2025-04-03
